iter	Passed	Remaining
201	3957	5838
202	3974	5814
203	3993	5794
204	4010	5771
205	4030	5752
206	4049	5731
207	4067	5710
208	4103	5713
209	4118	5687
210	4163	5703
211	4183	5682
212	4205	5667
213	4227	5650
214	4294	5692
215	4313	5672
216	4339	5658
217	4389	5678
218	4409	5658
219	4430	5639
220	4461	5632
221	4494	5628
222	4509	5601
223	4529	5580
224	4550	5561
225	4562	5531
226	4584	5513
227	4635	5530
228	4654	5508
229	4661	5472
230	4682	5452
231	4689	5417
232	4707	5393
233	4720	5365
234	4737	5342
235	4757	5321
236	4775	5299
237	4808	5293
238	4873	5321
239	4902	5311
240	4919	5286
241	4939	5266
242	4967	5253
243	4993	5238
244	5025	5230
245	5041	5205
246	5047	5170
247	5063	5145
248	5079	5120
249	5097	5097
250	5113	5072
251	5128	5047
252	5143	5022
253	5159	4996
254	5162	4960
255	5177	4935
256	5193	4910
257	5206	4883
258	5222	4859
259	5238	4835
260	5251	4808
261	5288	4803
262	5310	4785
263	5332	4767
264	5350	4745
265	5363	4717
266	5381	4696
267	5402	4676
268	5414	4649
269	5461	4652
270	5480	4631
271	5492	4603
272	5539	4605
273	5558	4584
274	5590	4574
275	5613	4555
276	5633	4534
277	5651	4512
278	5663	4486
279	5698	4477
280	5709	4449
281	5720	4421
282	5739	4400
283	5757	4379
284	5792	4369
285	5810	4347
286	5827	4325
287	5845	4302
288	5852	4272
289	5870	4251
290	5895	4234
291	5918	4215
292	5951	4204
293	5980	4190
294	6001	4170
295	6023	4151
296	6042	4130
297	6076	4118
298	6096	4098
299	6126	4084
300	6144	4062
301	6164	4041
302	6181	4019
303	6201	3998
304	6232	3984
305	6250	3962
306	6269	3941
307	6287	3919
308	6305	3897
309	6312	3868
310	6329	3846
311	6348	3825
312	6367	3804
313	6387	3783
314	6404	3761
315	6429	3743
316	6447	3721
317	6463	3699
318	6482	3678
319	6501	3657
320	6511	3631
321	6517	3602
322	6535	3581
323	6554	3560
324	6572	3538
325	6586	3515
326	6601	3492
327	6646	3485
328	6663	3463
329	6679	3441
330	6695	3418
331	6711	3396
332	6726	3373
333	6743	3351
334	6773	3336
335	6783	3310
336	6803	3290
337	6836	3276
338	6843	3250
339	6862	3229
340	6882	3209
341	6930	3201
342	6978	3194
343	7008	3178
344	7033	3159
345	7040	3133
346	7091	3126
347	7112	3106
348	7133	3086
349	7168	3072
350	7186	3050
351	7207	3030
352	7229	3010
353	7252	2991
354	7275	2971
355	7315	2959
356	7350	2944
357	7377	2926
358	7454	2927
359	7472	2905
360	7500	2887
361	7532	2871
362	7576	2859
363	7610	2843
364	7642	2826
365	7660	2804
366	7677	2782
367	7694	2759
368	7712	2737
369	7729	2715
370	7765	2700
371	7789	2680
372	7805	2657
373	7838	2640
374	7866	2622
375	7898	2604
376	7946	2592
377	7974	2573
378	7993	2552
379	8013	2530
380	8034	2509
381	8045	2485
382	8063	2463
383	8081	2441
384	8107	2421
385	8127	2400
386	8150	2379
387	8186	2362
388	8210	2342
389	8227	2320
390	8245	2298
391	8263	2276
392	8281	2254
393	8298	2232
394	8320	2211
395	8337	2189
396	8356	2167
397	8374	2146
398	8392	2124
399	8418	2104
400	8436	2082
401	8462	2063
402	8489	2043
403	8516	2023
404	8552	2006
405	8606	1992
406	8680	1983
407	8712	1964
408	8743	1945
409	8781	1927
410	8843	1914
411	8889	1898
412	8915	1878
413	8941	1857
414	8960	1835
415	8984	1814
416	9026	1796
417	9047	1774
418	9096	1758
419	9137	1740
420	9157	1718
421	9182	1697
422	9201	1675
423	9230	1654
424	9279	1637
425	9327	1620
426	9360	1600
427	9381	1578
428	9406	1556
429	9425	1534
430	9473	1516
431	9500	1495
432	9548	1477
433	9569	1455
434	9589	1432
435	9608	1410
436	9641	1390
437	9662	1367
438	9682	1345
439	9702	1323
440	9735	1302
441	9755	1280
442	9782	1258
443	9814	1237
444	9835	1215
445	9854	1193
446	9874	1170
447	9891	1148
448	9909	1125
449	9934	1103
450	9957	1081
451	9982	1060
452	10039	1041
453	10075	1020
454	10103	999
455	10120	976
456	10140	954
457	10159	931
458	10177	909
459	10197	886
460	10214	864
461	10231	841
462	10250	819
463	10268	796
464	10303	775
465	10321	753
466	10339	730
467	10357	708
468	10382	686
469	10400	663
470	10420	641
471	10443	619
472	10467	597
473	10491	575
474	10543	554
475	10592	534
476	10625	512
477	10671	491
478	10692	468
479	10720	446
480	10750	424
481	10770	402
482	10797	380
483	10833	358
484	10852	335
485	10870	313
486	10888	290
487	10907	268
488	10934	245
489	10951	223
490	10985	201
491	11003	178
492	11021	156
493	11038	134
494	11061	111
495	11077	89
496	11094	66
497	11111	44
498	11127	22
499	11143	0
