iter	Logloss
0	0.638488342
1	0.5941567461
2	0.5483668322
3	0.5204611971
4	0.4885195079
5	0.4634298414
6	0.4380111786
7	0.4206744516
8	0.3964585207
9	0.3826453513
10	0.3635990425
11	0.347967666
12	0.3393062605
13	0.3215244016
14	0.304143178
15	0.2937668893
16	0.2811515133
17	0.2704235817
18	0.2568972334
19	0.2454790932
20	0.2340867871
21	0.2276326895
22	0.2194996331
23	0.2119730839
24	0.2019174194
25	0.1950035596
26	0.1877285046
27	0.1804074257
28	0.1743832327
29	0.1704939793
30	0.164637617
31	0.1575116223
32	0.1518706758
33	0.1454081971
34	0.141156774
35	0.1359026852
36	0.1306761532
37	0.1270194108
38	0.1244329058
39	0.1197982839
40	0.1162395221
41	0.1141460215
42	0.1120012652
43	0.1108604912
44	0.1087872083
45	0.1057141689
46	0.1035886668
47	0.1018260913
48	0.09949359619
49	0.09718220866
50	0.09522832695
51	0.0937681515
52	0.0917660284
53	0.0902812509
54	0.08875810654
55	0.08756855054
56	0.08682821487
57	0.08596465581
58	0.08477684486
59	0.0831142447
60	0.08181188179
61	0.08113659334
62	0.08000255795
63	0.07886936714
64	0.07776534998
65	0.07679555264
66	0.07621307627
67	0.07529323033
68	0.07481917283
69	0.07405608958
70	0.07317277386
71	0.07246650786
72	0.07177631526
73	0.07109450322
74	0.07016430755
75	0.06942344023
76	0.06782182298
77	0.06719725394
78	0.06672325918
79	0.06598770556
80	0.06517570466
81	0.0648933682
82	0.06427544326
83	0.06355309582
84	0.0629710713
85	0.06230834272
86	0.06166457614
87	0.06092502714
88	0.06018081098
89	0.05971906266
90	0.05880019483
91	0.05776254684
92	0.05723194221
93	0.0567662563
94	0.05618892491
95	0.05546282579
96	0.05537477875
97	0.05440759719
98	0.05424269967
99	0.05406001983
100	0.05336276261
101	0.05335757371
102	0.05314754403
103	0.05305533193
104	0.05259072381
105	0.05234926314
106	0.05174273142
107	0.05123480903
108	0.05098330928
109	0.0506308049
110	0.05016529987
111	0.04962988636
112	0.04940784864
113	0.0490191188
114	0.04870508107
115	0.04848350387
116	0.04848033974
117	0.04764996982
118	0.04757937537
119	0.04737847748
120	0.04718167182
121	0.04679856615
122	0.04669331386
123	0.04627644795
124	0.045674055
125	0.04521997885
126	0.0449189313
127	0.04410102973
128	0.04323005581
129	0.04268426626
130	0.0424628275
131	0.04211357597
132	0.04204200071
133	0.04203600799
134	0.04193867418
135	0.0415590448
136	0.04152841685
137	0.04143834443
138	0.04126529735
139	0.04097617339
140	0.04084395157
141	0.04065544407
142	0.04045661059
143	0.04001486243
144	0.03963340954
145	0.0392463196
146	0.03924245919
147	0.03887685334
148	0.03828797933
149	0.03804954898
150	0.03758776167
151	0.03751581512
152	0.0371420885
153	0.03689035216
154	0.03676219362
155	0.03658945767
156	0.036544208
157	0.03641038343
158	0.03613592324
159	0.03602486819
160	0.03592382167
161	0.03570590431
162	0.03533514075
163	0.03518388383
164	0.03480070531
165	0.03438126613
166	0.03425234084
167	0.0339615666
168	0.0337109971
169	0.03351847666
170	0.03348861559
171	0.03316878356
172	0.03291119706
173	0.03287624094
174	0.03258402626
175	0.03239501239
176	0.03222884465
177	0.0322288428
178	0.03200900642
179	0.0319959934
180	0.03163672227
181	0.03141369916
182	0.03131110466
183	0.03107995764
184	0.03086962954
185	0.03052455412
186	0.0305245251
187	0.03029761921
188	0.03005042558
189	0.02986623048
190	0.02964872158
191	0.0296487142
192	0.02950011525
193	0.02919425528
194	0.02905562267
195	0.02874297019
196	0.02873156609
197	0.0285656102
198	0.02829578635
199	0.02814035809
200	0.02759776922
201	0.02738125906
202	0.02724374859
203	0.02695301042
204	0.02679638327
205	0.02660555594
206	0.02644611769
207	0.02626598584
208	0.02600309655
209	0.02600199623
210	0.02595222497
211	0.02574628994
212	0.02558695303
213	0.02545178253
214	0.02527267317
215	0.02504537245
216	0.02483055835
217	0.02480443548
218	0.02474650676
219	0.02451228487
220	0.0243941336
221	0.02425019551
222	0.02424257523
223	0.02412212429
224	0.02412158804
225	0.02412158469
226	0.02403010356
227	0.02395248218
228	0.02342721296
229	0.02342720815
230	0.02325300112
231	0.023252999
232	0.02308621953
233	0.02307079155
234	0.02299943215
235	0.02285720869
236	0.0228140178
237	0.02244062795
238	0.022325297
239	0.02225868674
240	0.02213450303
241	0.02206369136
242	0.02201352773
243	0.02200608237
244	0.02189050944
245	0.02177194496
246	0.02177194472
247	0.02174892613
248	0.0216571604
249	0.02153412414
250	0.02145737773
251	0.02129792021
252	0.02126953481
253	0.02121936558
254	0.02121936088
255	0.0210956046
256	0.02106889773
257	0.0209641322
258	0.02084033994
259	0.02075311897
260	0.02073501812
261	0.02049104572
262	0.02042276683
263	0.02032819157
264	0.02026128235
265	0.0202583684
266	0.02016140019
267	0.02009089591
268	0.02008716531
269	0.01997300109
270	0.01993343289
271	0.01993343157
272	0.0196982112
273	0.01959753134
274	0.01947880933
275	0.01947842215
276	0.01932217553
277	0.01920955452
278	0.01919432492
279	0.0190875793
280	0.01908270016
281	0.01908270006
282	0.01901345683
283	0.01901152335
284	0.01894323805
285	0.01875076027
286	0.01866229145
287	0.01854015508
288	0.01854015506
289	0.01844987362
290	0.01843177205
291	0.01832389191
292	0.01827256864
293	0.01822618601
294	0.018226186
295	0.01809503633
296	0.01801008736
297	0.01793583213
298	0.01783916941
299	0.01774961012
300	0.01774961004
301	0.01767366991
302	0.01758851199
303	0.01750445739
304	0.01738661746
305	0.01732995109
306	0.01730816621
307	0.01707237243
308	0.01698153028
309	0.01698153027
310	0.01688614632
311	0.01688614632
312	0.01688132348
313	0.01685336509
314	0.01683692111
315	0.01676687276
316	0.01667103227
317	0.0166367143
318	0.01643200502
319	0.01642000705
320	0.01641209806
321	0.01641209777
322	0.01641209749
323	0.01628161959
324	0.01622410997
325	0.01622368849
326	0.01622368844
327	0.01616655168
328	0.01610898546
329	0.01610074332
330	0.01605207999
331	0.01598139711
332	0.01589448498
333	0.01580959893
334	0.01575450395
335	0.01575446488
336	0.01569916721
337	0.01565933127
338	0.01565933096
339	0.01563169836
340	0.01556133875
341	0.01548571444
342	0.0154502382
343	0.01538378288
344	0.01534831878
345	0.01534831878
346	0.01529548959
347	0.01528745517
348	0.01524490886
349	0.01520458313
350	0.01518110223
351	0.01510672532
352	0.01505634653
353	0.01503068685
354	0.01497906077
355	0.01496642793
356	0.01492749634
357	0.01490946161
358	0.01486823364
359	0.01483076442
360	0.01476940938
361	0.01472864511
362	0.01456479904
363	0.0145184011
364	0.01448596059
365	0.01444216393
366	0.0143989603
367	0.01437069865
368	0.01435469365
369	0.01429670956
370	0.01420183752
371	0.01413674745
372	0.01412405457
373	0.01411654447
374	0.01407229527
375	0.0140328109
376	0.01400488768
377	0.01397118365
378	0.0138956694
379	0.01387588917
380	0.01384090122
381	0.01382799284
382	0.01375433174
383	0.013738761
384	0.0137036296
385	0.01367715376
386	0.01364296957
387	0.01360516727
388	0.01358476384
389	0.01353951402
390	0.01352548047
391	0.01336623992
392	0.01334294007
393	0.01332340894
394	0.01324666615
395	0.01321707909
396	0.01319407752
397	0.0131535843
398	0.01311989762
399	0.01308802052
400	0.01306506112
401	0.01305621531
402	0.01301120887
403	0.01300119823
404	0.01295994471
405	0.0129301052
406	0.01289924131
407	0.01286327506
408	0.01285582685
409	0.01281326522
410	0.01280152765
411	0.01277681643
412	0.01275063295
413	0.01272509903
414	0.01265452954
415	0.01264979254
416	0.01264584997
417	0.01261758742
418	0.01259338414
419	0.01258385362
420	0.01236839417
421	0.01234425018
422	0.01231319824
423	0.01228755296
424	0.01228309533
425	0.01224262455
426	0.01223472518
427	0.01220500917
428	0.01200881597
429	0.0119955315
430	0.01196320713
431	0.01195434539
432	0.01188882402
433	0.01186655978
434	0.01186270306
435	0.01181858892
436	0.01178346924
437	0.01176830963
438	0.01176830227
439	0.01173152233
440	0.01172151165
441	0.01168857459
442	0.0116759388
443	0.01161432679
444	0.01153986322
445	0.01149523685
446	0.01148584395
447	0.01145609136
448	0.01143630952
449	0.01140184613
450	0.01135110822
451	0.01135108089
452	0.01133122317
453	0.01130655091
454	0.01130087688
455	0.011285054
456	0.01124587176
457	0.01121628115
458	0.01120027449
459	0.01118561223
460	0.0111811703
461	0.01118106079
462	0.0111217707
463	0.0111102952
464	0.01110661258
465	0.01104663425
466	0.01104040931
467	0.01101222596
468	0.01099388823
469	0.01098832717
470	0.01096092144
471	0.01094802811
472	0.01089264232
473	0.01085766272
474	0.01085432393
475	0.01084221892
476	0.01078651671
477	0.01075582018
478	0.0107405561
479	0.01073284121
480	0.01072304687
481	0.01069895079
482	0.01067489017
483	0.0106637746
484	0.01064087739
485	0.01063509069
486	0.01060610704
487	0.01059925333
488	0.01057199775
489	0.0105557838
490	0.01050403518
491	0.01047105749
492	0.0104602882
493	0.01045404916
494	0.01044389048
495	0.01039554633
496	0.01038218866
497	0.0103764948
498	0.01035442849
499	0.01028507581
